TermID,TermName,ParentID
874,رشته فیزیک,8
875,نجوم,874
876,کیهان شناسی,874
877,فیزیک پلاسما,874
878,فیزیک هسته ای,874
879,فیزیک حالت جامد و ماده چگال,874
880,مهندسی اپتیک و لیزر,874
881,بیوفیزیک,874
882,فیزیک کاربردی,874
883,فیزیک کوانتوم,874
884,رشته شیمی,8
885,محض – کاربردی,884
886,پلیمر,884
887,شیمی آلی,884
888,شیمی فیزیک,884
889,رشته زیست شناسی,8
890,زیست عمومی,889
891,زیست گیاهی,889
892,زیست جانوری,889
893,زیست سلولی و مولکولی,889
894,ویروس شناسی,889
895,ژنتیک,889
896,بیوتکنولوژی,889
897,علوم کامپیوتر,8
898,نظریه الگوریتم ها,897
899,سیستم های اطلاعاتی,897
900,بیوانفورماتیک,897
901,ریاضیات گسسته,897
902,الگوریتم نویسی,897
903,پزشکی و داروسازی,8
904,داروسازی,903
905,درمان,903
906,علوم اعصاب,903
907,فیزیولوژی,903
908,آناتومی,903
909,دندانپزشکی,903
910,المپیاد,8
911,ریاضی,910
912,کامپیوتر,910
913,فیزیک,910
914,رشته اقتصاد,8
915,اقتصاد خرد,914
916,اقتصاد کلان,914
917,علوم اقتصادی,914
918,سایر,914
919,رشته روانشناسی,8
920,علوم شناختی,919
921,روانشناسی بالینی,919
922,روانشناسی عمومی,919
923,روانشناسی اجتماعی,919
924,علوم اجتماعی,8
925,حقوق,924
926,علوم سیاسی,924
927,جامعه شناسی,924
928,سایر,924
929,علوم انسانی,8
930,رشته حسابداری,929
931,ادبیات,929
932,فلسفه,929
933,سایر,929
934,رشته مدیریت,8
935,مدیریت بازرگانی,934
936,مدیریت صنعتی,934
937,رشته زمین‌شناسی و نجوم,8
938,لرزه‌شناسی,937
939,ستاره‌شناسی,937
940,کیهان‌شناسی,937
